model,MAE,RMSE,MASE,direction_accuracy,F1_macro,inference_ms
Naive,0.003573474665113892,0.004486861833255503,1.0581893384174041,0.32525252525252524,0.16361788617886178,0.0
Logistic Regression,,,,0.28484848484848485,0.19832103470281057,0.0009383838400338786
Random Forest,0.005305615303722601,0.006495151551843126,1.5711166509598122,0.29494949494949496,0.22978490523297576,0.1962165656614804
XGBoost,0.004524677563482393,0.0056662289993559805,1.3398627403731451,0.32727272727272727,0.30472263615577516,0.006108484854169115
SVR,0.009829538791553575,0.010935270453713683,2.9107560919144717,,,0.18901333334559406
