model,MAE,RMSE,MASE,direction_accuracy,F1_macro,CRPS,coverage_80pct,inference_ms
LSTM,0.03595621883869171,0.04011130357817622,10.647476473348364,0.2787878787878788,0.14533965244865718,,,0.07402202019801908
GRU,0.015661701560020447,0.02013758200215884,4.637795749353845,0.29494949494949496,0.21579956626501837,,,0.012825050531190377
Transformer,0.014843106269836426,0.018350255348555444,4.395390558403982,0.2828282828282828,0.16697538620969968,,,0.017247878772328896
PatchTST,0.007657140493392944,0.009285616871970685,2.267458200270842,0.2787878787878788,0.15295621301775147,,,0.03334606061054563
CARD,0.027167541906237602,0.03043123045756856,8.044943896439355,0.2787878787878788,0.14533965244865718,,,0.023851313127317662
"Moirai (reproduced, zero-shot-arch)",0.01488180086016655,0.018692566999778844,4.406848930654807,0.2787878787878788,0.14533965244865718,0.005379387643188238,0.8888888888888888,0.05805313133286557
Moirai + Financial Encoder,0.007550103589892387,0.008749565978280882,2.2357620723516334,0.2686868686868687,0.147043643420455,0.0023117440287023783,0.8808080808080808,0.09423232322201283
Optimized Moirai (+Regime),0.0074052875861525536,0.009026892090940469,2.19287867018686,0.27474747474747474,0.1527655973536426,0.0023948573507368565,0.8767676767676768,0.08819777776623577
